,Index,Texte,Media,Interaction,Sujet,Données manquantes,A supprimer
0,1618580167122890759,"le_Parisien :
""« Je me suis sentie humiliée » : basketteuse depuis 10 ans, Salimata a été exclue du terrain à cause de son voile
👉 https://t.co/oXa4A7igIO https://t.co/Lvv3HYDw51""",https://video.twimg.com/amplify_video/1618577738322829313/vid/540x540/zcjvu9pjsvD44My5.mp4?tag=16,Racine,Loin du VE,False,False
1,1618639717305839616,"FloPortelli :
""@le_Parisien Ce qui est dingue c’est de porter un voile dans notre pays, surtout quand on voit le combat des héroïnes iraniennes""",,Désaccord,Loin du VE,False,False
2,1618867714067693568,"SAbdelhamid :
""@FloPortelli @le_Parisien Ce qui est dingue c’est qu’on essaye de contrôler la tenue d’une femme et sa volonté, penser a sa place dans notre pays, surtout quand on est élue de la Republique.""",,Désaccord,Loin du VE,False,False
3,1618990967608205314,"eve_thefirst :
""@SAbdelhamid @FloPortelli @le_Parisien Personne ne l'empêche de jouer, elle doit juste porter la même tenue que tout le monde quand elle est sur le terrain, et arrêter d'essayer de donner encore un peu plus de place à sa religion sur l'espace public.""",,Désaccord,Loin du VE,False,False
4,1619606487214747648,"ChipeauxMylene :
""@eve_thefirst @SAbdelhamid @FloPortelli @le_Parisien C est tous à fait ça. Dans le sport il y a des règles que tous le monde doit suivre et si ça ne convient pas et bien elle arrête mais c est pas la peine de jouer les victimes  ou pour faire passer encore ça pour du racisme.""",,Accord,Loin du VE,False,False
5,1596458046888505346,"Gemenne :
""Dans un vol Paris-New York, on trouvera un passager qui part effectuer une année d’études aux États-Unis et un autre qui part faire du shopping sur la 5ème Avenue. Ils ont la même empreinte carbone pour leur vol, mais ce vol a-t-il la même utilité sociale pour les deux passagers?""",https://twitter.com/LePointEvents/status/1596433295742410757,Racine,Proche du VE,False,False
6,1596587023863009280,"WidehemPierre :
""@Gemenne Réponse de celui qui part faire du shopping sur la 5ème Avenue :
« je n’y vais que pour le WE, je suis obligé d’y aller en avion. L’étudiant qui y va pour une année d’études n’a qu’à y aller en bateau ! »""",,Autre,Proche du VE,False,False
7,1625540883792773144,"Mediavenir :
""🇫🇷 FLASH - 3 familles de migrants morts en 2021 en tentant de traverser la #Manche ont déposé une demande d'indemnisation auprès de la #France, dont elle dénonce ""l'inaction fautive"" dans le naufrage. (AFP)""",,Racine,Loin du VE,False,False
8,1625541682996428808,"WestRiseAgain :
""@Mediavenir Les autorités font tout pour les empêcher de prendre la mer et ils le font quand même.""",,Désaccord,Loin du VE,False,False
9,1613523022073430016,"Elisabeth_Borne :
""Plus d’énergie, plus de souveraineté et moins d’émissions : c’est ce que permet le projet de loi #ENR adopté en première lecture par le Parlement.

Pour les Français nous pouvons bâtir des majorités d’action. C’est ma méthode.

Soyons fiers de ce travail de co-construction. https://t.co/nXlmwIpCUV""",https://video.twimg.com/ext_tw_video/1613522821321302016/pu/vid/480x270/ObIYKsb4egzIwAzX.mp4?tag=12,Racine,Proche du VE,False,False
